"age_id";"gender";"year_id";"Dxt_HMD"
"7";"Female";"2016";"240"
"7";"Female";"2017";"219"
"7";"Female";"2018";"176"
"7";"Female";"2019";"196"
"7";"Female";"2020";"201"
"7";"Male";"2000";"347.08"
"7";"Male";"2001";"305.08"
"7";"Male";"2002";"326.08"
"7";"Male";"2003";"309.07"
"7";"Male";"2004";"314.07"
"7";"Male";"2005";"289.04"
"7";"Male";"2006";"286.04"
"7";"Male";"2007";"297.04"
"7";"Male";"2008";"282.02"
"7";"Male";"2009";"260.04"
"7";"Male";"2010";"268.02"
"7";"Male";"2011";"256.02"
"7";"Male";"2012";"288.02"
"7";"Male";"2013";"252.02"
"7";"Male";"2014";"273.02"
"7";"Male";"2015";"241.02"
"7";"Male";"2016";"272.02"
"7";"Male";"2017";"267.02"
"7";"Male";"2018";"243.02"
"7";"Male";"2019";"243.02"
"7";"Male";"2020";"240.01"
"8";"Female";"2000";"260.02"
"8";"Female";"2001";"246.02"
"8";"Female";"2002";"263.02"
"8";"Female";"2003";"236.02"
"8";"Female";"2004";"224.02"
"8";"Female";"2005";"235.01"
"8";"Female";"2006";"212"
"8";"Female";"2007";"229"
"8";"Female";"2008";"208"
"8";"Female";"2009";"193.02"
"8";"Female";"2010";"208.01"
"8";"Female";"2011";"210.01"
"8";"Female";"2012";"188"
"8";"Female";"2013";"195"
"8";"Female";"2014";"188"
"8";"Female";"2015";"195"
"8";"Female";"2016";"194"
"8";"Female";"2017";"206"
"8";"Female";"2018";"221"
"8";"Female";"2019";"184"
"8";"Female";"2020";"193"
"8";"Male";"2000";"349.08"
"8";"Male";"2001";"337.09"
"8";"Male";"2002";"348.08"
"8";"Male";"2003";"322.07"
"8";"Male";"2004";"297.06"
"8";"Male";"2005";"295.04"
"8";"Male";"2006";"302.04"
"8";"Male";"2007";"281.04"
"8";"Male";"2008";"280.02"
"8";"Male";"2009";"265.04"
"8";"Male";"2010";"257.02"
"8";"Male";"2011";"273.02"
"8";"Male";"2012";"239.02"
"8";"Male";"2013";"260.02"
"8";"Male";"2014";"254.02"
"8";"Male";"2015";"269.02"
"8";"Male";"2016";"288.02"
"8";"Male";"2017";"248.02"
"8";"Male";"2018";"236.02"
