"age";"s";"s1";"s2";"s1_s2";"s1_d";"s2_d"
23;0.056686558965625;0.0539777070526531;0.0597681117567295;0.0568729094046913;0.0593146422578346;0.0543903795591278
24;0.0590086742763338;0.0561405274827166;0.0622720523473521;0.0592062899150343;0.0617322880759476;0.0566313891242904
25;0.057797786994386;0.0549400273432352;0.0610500145570153;0.0579950209501253;0.0604530958888208;0.0554825115599269
26;0.0591299098696055;0.0561554771205488;0.0625157160292471;0.059335596574898;0.0618337305561517;0.0567748342862655
27;0.0603848819884999;0.0572941425745892;0.0639039879885507;0.06059906528157;0.0631315993344494;0.0579951134462319
28;0.0618124303757113;0.0585928272406132;0.0654793069343236;0.0620360670874684;0.0646075528552796;0.0593834219889602
29;0.061158065738052;0.0579159479364774;0.0648517390722879;0.0613838435043827;0.0639067756163379;0.058772331825157
30;0.0620942473757451;0.0587435579649133;0.0659129252456434;0.0623282416052784;0.0648677846433415;0.0596900287135873
31;0.0641037784575514;0.0605821982604656;0.0681186934111387;0.0643504458358021;0.0669471513270124;0.0616423589261343
32;0.0574855660156708;0.0542700881865367;0.0611529741147167;0.0577115311506267;0.060020615574734;0.0552939566777204
33;0.0576143874336688;0.0543324674338714;0.0613591943398418;0.0578458308868566;0.0601448244617474;0.055429481475215
34;0.0584341448352946;0.0550436906690131;0.0623045594691952;0.0586741250691041;0.0609897312356815;0.0562303319596026
35;0.0558470713017008;0.052545884068046;0.0596174325476153;0.0560816583078306;0.0582806521976818;0.053751126603807
36;0.0561942558985064;0.0528094277871749;0.0600621528369781;0.0564357903120765;0.0586359726424643;0.0540938920873285
37;0.0565097905340764;0.0530404786103295;0.0604764148143168;0.0567584467123231;0.0589581386680498;0.0544063636263136
38;0.0548581997169018;0.0514246655151229;0.0587862051823166;0.0551054353487197;0.0572295504526718;0.0528234272593522
39;0.0589915211694609;0.0552263609597176;0.0633015694029309;0.0592639651813242;0.0615342446221748;0.0568125159325657
40;0.0594347937269797;0.0555654213258017;0.0638670283484329;0.0597162248371173;0.0619860462148305;0.0572515672761817
41;0.0548385505952502;0.0511959647971035;0.0590138783330929;0.0551049215650982;0.0571864677932184;0.0528319470911967
42;0.0559924707544141;0.0521966040304537;0.0603466571017614;0.0562716305661076;0.0583870603124995;0.0539484351089594
43;0.0551919869853233;0.0513720546109427;0.0595771222430442;0.0554745884269935;0.0575501631695834;0.0531814144182022
44;0.0542372525090614;0.050403483619488;0.0586418012287101;0.0545226424240991;0.0565548314018643;0.0522634588106837
45;0.0548075577229077;0.0508495328222702;0.0593587006844473;0.0551041167533588;0.0571510490229385;0.0528137664952813
46;0.0568344483959757;0.0526394818836706;0.0616623107750893;0.05715089632938;0.0592649287693792;0.0547688516971452
47;0.0585653166979041;0.0541454434028116;0.0636567498804296;0.0589010966416206;0.0610676149161926;0.0564410936289348
48;0.0649295521467328;0.0599172078496365;0.0707091372276377;0.0653131725386371;0.0676933540783548;0.0625865577284372
49;0.0651266743654018;0.059982002983788;0.071064972236192;0.06552348760999;0.0678817049356071;0.0627948186890003
50;0.0671829882472913;0.061750018712216;0.0734608937909771;0.0676054562515966;0.0700051828480525;0.0647982253508203
51;0.0677173435827052;0.0621089160037617;0.0742054522772702;0.068157184140516;0.0705393056756094;0.0653369087375458
52;0.0734260263476791;0.0671952014021134;0.0806429258339601;0.0739190636180367;0.0764527133597624;0.0708780283403626
53;0.0747959871851963;0.0682899821295581;0.0823413109946901;0.0753156465621241;0.0778346867540571;0.0722439685425157
54;0.0801648708922899;0.0730141345232184;0.0884692218971804;0.0807416782101994;0.0833620656737026;0.0774873262873482
55;0.0870036310444362;0.0790417423501337;0.0962633761126877;0.0876525592314107;0.0903841165690457;0.0841832086853055
56;0.0917748106128181;0.0831553272515913;0.101814772525395;0.092485049888493;0.0952190587224009;0.0889154005557152
57;0.0877741291976848;0.0793103453943947;0.0976488593152429;0.0884796023548188;0.0909463717494367;0.0851552921036119
58;0.0949358165020094;0.0855332389007346;0.105924968965998;0.0957291039333665;0.0982223770436416;0.0922407488822541
59;0.0960088736396042;0.0862384455851813;0.107449129266282;0.0968437874257319;0.0991600160534309;0.0934474016231783
60;0.0993399607546225;0.0889484799589286;0.111531466783408;0.100239973371168;0.102401776738043;0.0968787342354767
61;0.105005603156694;0.0937108859220687;0.118284752978086;0.105997819450077;0.107994649933272;0.102639982521318
62;0.105347882393042;0.0936921143092552;0.119082329893173;0.106387222101214;0.108066435932601;0.103242743013146
63;0.109695398665348;0.0972073020917052;0.124445960424944;0.110826631258325;0.112201343122689;0.107815609607981
64;0.110136448691735;0.0972313439714884;0.125418657299198;0.111325000635343;0.112289227823645;0.108600128972466
65;0.108683390177092;0.0955720741264056;0.124252292101161;0.109912183113783;0.11042999170893;0.107534638565206
66;0.112169178400003;0.0982328990519424;0.128766110970898;0.11349950501142;0.113546751071447;0.111399649700336
67;0.108294890550534;0.0944336249900104;0.124854009898463;0.109643817444237;0.109186972095341;0.1079837327958
68;0.106980434521631;0.0928689899204816;0.123894662979588;0.108381826450035;0.107418711123259;0.107113296649547
69;0.10444948660334;0.0902453249585694;0.121535506815728;0.105890415887149;0.104427808971388;0.105029602479563
70;0.104174840376171;0.0895631537189547;0.121818007680462;0.105690580699709;0.103680398737867;0.10523112464381
71;0.0966922871447635;0.0826975822101114;0.113659146515688;0.0981783643628997;0.0957926510296993;0.0981216880966991
72;0.0948787917736146;0.0807002928606433;0.112143260320595;0.0964217765906192;0.0935686162815784;0.096720399388665
73;0.0892875636506076;0.075501499817961;0.106152258208599;0.0908268790132802;0.0876497045587596;0.0914396086129559
